DATE,AHETPI
2010-01-01,18.88
2010-02-01,18.91
2010-03-01,18.91
2010-04-01,18.96
2010-05-01,19.01
2010-06-01,19.02
2010-07-01,19.04
2010-08-01,19.11
2010-09-01,19.11
2010-10-01,19.20
2010-11-01,19.21
2010-12-01,19.22
2011-01-01,19.32
2011-02-01,19.31
2011-03-01,19.31
2011-04-01,19.36
2011-05-01,19.41
2011-06-01,19.41
2011-07-01,19.47
2011-08-01,19.47
2011-09-01,19.48
2011-10-01,19.56
2011-11-01,19.56
2011-12-01,19.56
2012-01-01,19.59
2012-02-01,19.59
2012-03-01,19.64
2012-04-01,19.68
2012-05-01,19.68
2012-06-01,19.72
2012-07-01,19.74
2012-08-01,19.74
2012-09-01,19.78
2012-10-01,19.79
2012-11-01,19.84
2012-12-01,19.90
2013-01-01,19.94
2013-02-01,19.99
2013-03-01,20.01
2013-04-01,20.04
2013-05-01,20.05
2013-06-01,20.12
2013-07-01,20.14
2013-08-01,20.17
2013-09-01,20.23
2013-10-01,20.25
2013-11-01,20.31
2013-12-01,20.34
2014-01-01,20.39
2014-02-01,20.50
2014-03-01,20.50
2014-04-01,20.51
2014-05-01,20.54
2014-06-01,20.57
2014-07-01,20.61
2014-08-01,20.67
2014-09-01,20.67
2014-10-01,20.70
2014-11-01,20.76
2014-12-01,20.70
2015-01-01,20.80
2015-02-01,20.80
2015-03-01,20.88
2015-04-01,20.91
2015-05-01,20.99
2015-06-01,21.01
2015-07-01,21.03
2015-08-01,21.08
2015-09-01,21.11
2015-10-01,21.19
2015-11-01,21.20
2015-12-01,21.24
2016-01-01,21.31
2016-02-01,21.34
2016-03-01,21.40
2016-04-01,21.45
2016-05-01,21.47
2016-06-01,21.53
2016-07-01,21.58
2016-08-01,21.61
2016-09-01,21.64
2016-10-01,21.70
2016-11-01,21.72
2016-12-01,21.76
2017-01-01,21.81
2017-02-01,21.86
2017-03-01,21.88
2017-04-01,21.93
2017-05-01,21.97
2017-06-01,22.03
2017-07-01,22.08
2017-08-01,22.11
2017-09-01,22.20
2017-10-01,22.18
2017-11-01,22.23
2017-12-01,22.30
2018-01-01,22.36
2018-02-01,22.40
2018-03-01,22.49
2018-04-01,22.55
2018-05-01,22.61
2018-06-01,22.67
2018-07-01,22.71
2018-08-01,22.79
2018-09-01,22.86
2018-10-01,22.90
2018-11-01,23.00
2018-12-01,23.09
2019-01-01,23.11
2019-02-01,23.19
2019-03-01,23.28
2019-04-01,23.33
2019-05-01,23.42
2019-06-01,23.47
2019-07-01,23.54
2019-08-01,23.64
2019-09-01,23.70
2019-10-01,23.76
2019-11-01,23.81
2019-12-01,23.84
2020-01-01,23.87
